"X"	"Y"	"Typo"	"NO2"	"NOx"	"pop"
"725390.87"	"1847416.82"	"U"	"19.6"	"684308.5"	"80439.42"
"724729.02"	"1849745.06"	"U"	"10.5"	"207622.98"	"35223.69"
"724494.84"	"1848126.91"	"U"	"17.2"	"449175.71"	"78047.94"
"723705.81"	"1848045.91"	"U"	"22.1"	"417260.61"	"84798.9"
"723515.06"	"1848506.24"	"U"	"20.3"	"352650.33"	"70047.11"
"722631.4"	"1848972.07"	"U"	"21.7"	"308891.38"	"55440.21"
"721915.81"	"1849366.64"	"U"	"31.5"	"248102.13"	"42840.4"
"721205.61"	"1850244.46"	"U"	"19.2"	"151057.85"	"27187.65"
"720419.79"	"1849663.03"	"U"	"21.3"	"105495.58"	"35596.37"
"720828.8"	"1848346.65"	"PU"	14	"249180.88"	"62846.42"
"719848.67"	"1848241.25"	"U"	"19.1"	"155684.13"	"47241.34"
"720275.89"	"1848773.41"	"U"	"18.6"	"138320.45"	"48663.65"
"719415.95"	"1849842.21"	"U"	12	"41881.12"	"26949.3"
"721669.72"	"1848541.87"	"U"	"23.2"	"303149.36"	"62088.04"
"722606.54"	"1847289.08"	"U"	"20.7"	"497059.01"	"90886.78"
"721753.47"	"1847547.43"	"U"	"16.4"	"411186.27"	"69128.02"
"721262.55"	"1845648.58"	"U"	"17.1"	"398302.07"	"51656.08"
"722358.04"	"1844950.64"	"U"	"22.7"	"446358.95"	"58771.04"
"722206.24"	"1846116.25"	"U"	"19.4"	"520319.71"	"77748.29"
"723489.05"	"1845933.97"	"U"	"25.7"	"709863.76"	"99619.56"
"724736.58"	"1845614.56"	"U"	33	"884312.98"	"94341.67"
"724350.83"	"1846028.72"	"T"	"52.4"	"864124.92"	"103943.97"
"723629.17"	"1846707.88"	"U"	"34.6"	"689628.82"	"103032.89"
"724200.97"	"1846870.45"	"U"	"27.1"	"755040.31"	"104500.31"
"725895.43"	"1846266.1"	"U"	"36.4"	"849389.77"	"73831.36"
"725799.65"	"1845508.58"	"U"	"25.4"	"965081.18"	"69193.17"
"726098.67"	"1844421.68"	"U"	"27.1"	"911069.31"	"36791.46"
"725364.52"	"1844526.28"	"U"	"22.7"	"935506.48"	"53367.93"
"724882.31"	"1846510.93"	"U"	"21.1"	"858143.84"	"98895.41"
"724772.9"	"1846069.28"	"U"	"27.7"	"886822.5"	"99213.52"
"724955.06"	"1845032.33"	"U"	35	"901707.53"	"77243.38"
"722238.66"	"1842787.26"	"PU"	"20.5"	"405187.64"	"14346.53"
"723062.06"	"1842965.64"	"PU"	"17.1"	"477992.97"	"19553.02"
"721827.94"	"1842353.17"	"PU"	"18.6"	"369457.16"	"9445.27"
"727996.71"	"1853347.63"	"R"	"11.5"	"54178.45"	"10325.35"
"728722.49"	"1851130.06"	"U"	"13.7"	"121639.32"	"15169.65"
"727251.22"	"1851647.91"	"U"	"14.1"	"109895.9"	"14650.05"
"728925.16"	"1850384.23"	"U"	"15.5"	"142720.59"	"13610.21"
"728437.34"	"1850327.52"	"U"	"13.5"	"151147.58"	"15461.59"
"728953.81"	"1850725.3"	"U"	13	"135392.11"	"14024.09"
"728682.05"	"1849699.35"	"T"	"27.6"	"151796.5"	"12948.21"
"728327.69"	"1849756.74"	"U"	"22.8"	"164922.02"	"14005.14"
"726713.1"	"1849098.9"	"U"	"24.6"	"218348.62"	"24282.7"
"726726.04"	"1848974.48"	"U"	"21.2"	"225084.32"	"25107.07"
"726806.24"	"1848928.31"	"T"	"29.7"	"225950.63"	"24616.64"
"726537.12"	"1848764.93"	"U"	"19.7"	"259936.17"	"29787.94"
"726673.91"	"1849441.91"	"U"	"14.6"	"204894.41"	"22362.2"
"726150.91"	"1848632.61"	"T"	"24.5"	"316001.78"	"38749.85"
"727243.31"	"1847324.48"	"PU"	"30.3"	"489820.48"	"26801.76"
"726944.64"	"1848273.32"	"PU"	"25.8"	"317921.69"	"28162.73"
"725272.98"	"1848635.24"	"U"	"16.7"	"350162.56"	"54958.83"
"725042.59"	"1848390.3"	"T"	"33.8"	"412569.02"	"64380.37"
"725304.72"	"1848259.69"	"U"	"18.3"	"449781.78"	"63495.5"
"725011.08"	"1848307.35"	"U"	"19.9"	"433707.6"	"67092.61"
"725452.62"	"1848135.73"	"T"	"25.6"	"481305.33"	"63856.06"
"724704.38"	"1848777.65"	"U"	"24.4"	"314894.82"	"58206.71"
"724894.68"	"1847937.87"	"U"	"25.1"	"528136.34"	"79002.3"
"724099.24"	"1848349.51"	"U"	"21.8"	"379742.57"	"74419.91"
"724995.96"	"1848051.06"	"U"	"17.6"	"501268.53"	"74167.8"
"725018.41"	"1847605.28"	"U"	"22.7"	"632099.3"	"85306.6"
"724997.91"	"1847335.59"	"U"	"27.6"	"710446.05"	"90710.14"
"724874.75"	"1847266.39"	"U"	"21.7"	"722100.49"	"93985.14"
"725083.49"	"1847217.13"	"T"	"23.7"	"746775.98"	"90499.91"
"724877.72"	"1847071.74"	"U"	"25.5"	"777292.48"	"95764.12"
"725153.49"	"1847109.43"	"U"	25	"776579.07"	"89644.78"
"725595.6"	"1846993.49"	"U"	"22.1"	"782002.74"	78433
"726045.74"	"1846843.29"	"U"	"18.8"	"762835.31"	"66077.57"
"725515.75"	"1845923.66"	"U"	"24.8"	"896885.18"	"81996.3"
"725197.83"	"1845833.61"	"T"	"34.4"	"900201.82"	"88860.1"
"725307.58"	"1845940.62"	"U"	"25.6"	"895706.41"	"87104.65"
"725262.21"	"1845799.47"	"T"	"30.5"	"902193.63"	"87100.14"
"725432.69"	"1845707.24"	"U"	"23.7"	"914148.28"	"82033.81"
"725041.56"	"1845978.88"	"U"	"27.2"	"899061.45"	"93310.02"
"724373.51"	"1845779.88"	"U"	"33.7"	"863539.34"	"101038.3"
"724488.2"	"1845288.04"	"U"	"23.9"	"856694.75"	"90436.16"
"724372.83"	"1844945.25"	"U"	"26.4"	"806484.09"	"81203.79"
"724149.99"	"1845174.62"	"U"	"24.3"	"798034.56"	"88779.75"
"724179.66"	"1844768.94"	"U"	"24.8"	"746883.94"	"77073.03"
"723253.04"	"1844629.62"	"U"	"29.7"	"499313.09"	"64248.53"
"723721.85"	"1844481.83"	"U"	"19.8"	"594231.35"	"65252.04"
"723794.6"	"1843654.19"	"U"	"23.2"	"551683.12"	"35098.55"
"723970.35"	"1843309.35"	"U"	34	"575934.83"	"28092.43"
"724040.81"	"1843143.8"	"T"	"41.2"	"582274.68"	"24904.79"
"724010.56"	"1843365.71"	"U"	"28.5"	"582682.54"	"29095.62"
"720721.68"	"1842662.61"	"T"	"30.7"	"240227.66"	"9549.81"
"720747.57"	"1846960.73"	"U"	"24.4"	"328930.58"	"60122.03"
"724041.5"	"1846383.19"	"U"	31	"812154.96"	"105787.44"
"726492.32"	"1844837.91"	"U"	"24.3"	"972436.28"	"36174.07"
"728712.41"	"1850835.05"	"U"	"14.3"	"131666.04"	"15195.65"
"726464.71"	"1847649.51"	"U"	"20.3"	"537851.54"	"42357.32"
"723647.91"	"1846694.13"	"U"	43	"695217.8"	"103191.8"
"724348.84"	"1846019.09"	"T"	55	"864175.84"	"103901.71"
"721636.21"	"1847560.08"	"U"	17	"396311.34"	"69814.03"
"725364.07"	"1844519.41"	"U"	27	"934756.77"	"53163.69"
