"X"	"Y"	"distance"	"Em_routier_150m"
720390	2363530	"135.186277"	"0.196618"
720390	2363550	"116.345165"	"0.204283"
720390	2363570	"97.832237"	"0.201048"
720390	2363590	"80.159165"	"0.210948"
720390	2363610	"63.742259"	"0.207902"
720390	2363630	"50.108848"	"0.197897"
720390	2363650	"41.846311"	"0.199807"
720390	2363670	"42.366770"	"0.191175"
720390	2363690	"51.334776"	"0.183253"
720390	2363710	"65.434856"	"0.171455"
720390	2363730	"81.948214"	"0.159132"
720390	2363750	"99.541309"	"0.142142"
720390	2363770	"117.205316"	"0.117881"
720390	2363790	"134.975137"	"0.0776334"
720390	2364510	"141.189866"	"0.650583"
720390	2364530	"123.468652"	"1.23604"
720390	2364550	"105.252634"	"1.48093"
720390	2364570	"87.353910"	"1.76937"
720390	2364590	"70.268699"	"1.89033"
720390	2364610	"55.288264"	"1.9532"
720390	2364630	"44.344022"	"2.03616"
720390	2364650	"40.975014"	"2.06465"
720390	2364670	"46.809898"	"2.07423"
720390	2364690	"59.219795"	"2.03948"
720390	2364710	"74.913354"	"1.97114"
720390	2364730	"92.360387"	"1.82524"
720390	2364750	"110.584457"	"1.7079"
720390	2364770	"129.421655"	"1.48521"
720390	2364790	"148.465145"	"1.29036"
720390	2365530	"134.857277"	"0.393927"
720390	2365550	"116.022229"	"0.420663"
720390	2365570	"97.519088"	"0.437326"
720390	2365590	"79.862920"	"0.442834"
720390	2365610	"63.478336"	"0.462772"
720390	2365630	"49.910445"	"0.454453"
720390	2365650	"41.773948"	"0.457402"
720390	2365670	"42.457826"	"0.44656"
720390	2365690	"51.542808"	"0.433509"
720390	2365710	"65.575766"	"0.416139"
720390	2365730	"80.234288"	"0.396089"
720390	2365750	"94.962551"	"0.35569"
720390	2365770	"109.698157"	"0.31055"
720390	2365790	"124.433769"	"0.250635"
720390	2365810	"139.330991"	"0.154319"
720390	2366410	"140.571629"	"0.87444"
720390	2366430	"122.319705"	"1.08997"
720390	2366450	"104.582756"	"1.21883"
720390	2366470	"87.935802"	"1.33766"
720390	2366490	"72.874756"	"1.41851"
720390	2366510	"60.821924"	"1.46628"
720390	2366530	"53.664814"	"1.48577"
720390	2366550	"53.517324"	"1.47698"
720390	2366570	"60.374640"	"1.44087"
720390	2366590	"72.331654"	"1.37379"
720390	2366610	"87.214004"	"1.27279"
720390	2366630	"103.902030"	"1.15604"
720390	2366650	"121.505006"	"1.02919"
720390	2366670	"139.840598"	"0.65362"
720410	2363530	"130.542406"	"0.184976"
720410	2363550	"110.914779"	"0.196753"
720410	2363570	"91.306831"	"0.206056"
720410	2363590	"72.049865"	"0.205753"
720410	2363610	"53.185211"	"0.200262"
720410	2363630	"35.726577"	"0.207692"
720410	2363650	"22.726754"	"0.202901"
720410	2363670	"23.669278"	"0.198035"
720410	2363690	"37.422604"	"0.189818"
720410	2363710	"54.840855"	"0.179469"
720410	2363730	"72.504814"	"0.168127"
720410	2363750	"90.323252"	"0.156109"
720410	2363770	"108.040154"	"0.134187"
720410	2363790	"125.809999"	"0.102764"
720410	2363810	"143.473964"	"0.0504292"
720410	2364490	"149.228958"	"0.291255"
720410	2364510	"131.716668"	"0.9519"
720410	2364530	"113.995436"	"1.38355"
720410	2364550	"96.328216"	"1.59872"
720410	2364570	"78.761925"	"1.79221"
720410	2364590	"60.722228"	"1.96059"
720410	2364610	"42.688830"	"2.02933"
720410	2364630	"27.052472"	"2.03448"
720410	2364650	"21.078337"	"2.06747"
720410	2364670	"30.925895"	"2.05102"
720410	2364690	"47.666850"	"1.9881"
720410	2364710	"66.159319"	"1.9325"
720410	2364730	"85.413032"	"1.81551"
720410	2364750	"104.851169"	"1.61575"
720410	2364770	"124.558059"	"1.44933"
720410	2364790	"144.244741"	"1.11576"
720410	2365530	"130.201751"	"0.372323"
720410	2365550	"110.576079"	"0.39842"
720410	2365570	"90.971337"	"0.425274"
720410	2365590	"71.720277"	"0.439972"
720410	2365610	"52.868811"	"0.446979"
720410	2365630	"35.448063"	"0.458646"
720410	2365650	"22.593700"	"0.457361"
720410	2365670	"23.832321"	"0.452155"
720410	2365690	"37.243116"	"0.447707"
720410	2365710	"52.055859"	"0.429151"
720410	2365730	"66.707049"	"0.416946"
720410	2365750	"81.527105"	"0.389171"
720410	2365770	"96.262733"	"0.348399"
720410	2365790	"110.998361"	"0.305422"
720410	2365810	"125.811089"	"0.24354"
720410	2365830	"140.462237"	"0.141179"
720410	2366410	"134.373727"	"0.7753"
720410	2366430	"115.143070"	"0.991423"
720410	2366450	"96.089902"	"1.2126"
720410	2366470	"77.642271"	"1.33559"
720410	2366490	"60.052036"	"1.41784"
720410	2366510	"44.662334"	"1.46602"
720410	2366530	"34.281626"	"1.48591"
720410	2366550	"34.048813"	"1.47761"
720410	2366570	"44.047877"	"1.44198"
720410	2366590	"59.387596"	"1.37756"
720410	2366610	"76.819279"	"1.30024"
720410	2366630	"95.343857"	"1.22082"
720410	2366650	"114.272420"	"1.05102"
720410	2366670	"133.603939"	"0.726892"
720430	2363510	"148.909950"	"0.157088"
720430	2363530	"128.865385"	"0.178021"
720430	2363550	"108.935563"	"0.182439"
720430	2363570	"88.891543"	"0.195524"
720430	2363590	"68.962694"	"0.19813"
720430	2363610	"48.920724"	"0.207888"
720430	2363630	"28.997583"	"0.206053"
720430	2363650	"8.993182"	"0.200834"
720430	2363670	"10.241985"	"0.200526"
720430	2363690	"27.905837"	"0.193345"
720430	2363710	"45.724297"	"0.189255"
720430	2363730	"63.339659"	"0.177155"
720430	2363750	"81.158089"	"0.163861"
720430	2363770	"98.773492"	"0.149756"
720430	2363790	"116.591905"	"0.125205"
720430	2363810	"134.255921"	"0.0839234"
720430	2364490	"139.789999"	"0.621742"
720430	2364510	"122.290385"	"1.18057"
720430	2364530	"104.576287"	"1.4698"
720430	2364550	"86.855015"	"1.76114"
720430	2364570	"69.389653"	"1.83315"
720430	2364590	"51.722429"	"1.98099"
720430	2364610	"34.055210"	"2.06383"
720430	2364630	"16.040723"	"2.08102"
720430	2364650	"2.934990"	"2.08755"
720430	2364670	"22.817303"	"2.03528"
720430	2364690	"42.851457"	"1.98028"
720430	2364710	"62.777984"	"1.85957"
720430	2364730	"82.820929"	"1.7711"
720430	2364750	"102.750129"	"1.53273"
720430	2364770	"122.794266"	"1.31632"
720430	2364790	"142.724098"	"0.937324"
720430	2365510	"148.564645"	"0.291353"
720430	2365530	"128.520309"	"0.340878"
720430	2365550	"108.590718"	"0.376334"
720430	2365570	"88.546933"	"0.402147"
720430	2365590	"68.618324"	"0.427234"
720430	2365610	"48.576619"	"0.439965"
720430	2365630	"28.653847"	"0.450994"
720430	2365650	"8.651794"	"0.454576"
720430	2365670	"9.149182"	"0.460578"
720430	2365690	"23.800353"	"0.448343"
720430	2365710	"38.620474"	"0.44858"
720430	2365730	"53.348764"	"0.427403"
720430	2365750	"68.168810"	"0.41336"
720430	2365770	"82.742836"	"0.382301"
720430	2365790	"97.632749"	"0.343897"
720430	2365810	"112.368343"	"0.301054"
720430	2365830	"127.026808"	"0.236274"
720430	2365850	"141.762427"	"0.127826"
720430	2366410	"130.972733"	"0.697631"
720430	2366430	"111.154783"	"0.955566"
720430	2366450	"91.272280"	"1.15879"
720430	2366470	"71.593179"	"1.31753"
720430	2366490	"51.994313"	"1.41559"
720430	2366510	"33.042195"	"1.4652"
720430	2366530	"16.498272"	"1.48621"
720430	2366550	"16.005790"	"1.47887"
720430	2366570	"32.202176"	"1.44935"
720430	2366590	"51.220619"	"1.4206"
720430	2366610	"70.694893"	"1.34306"
720430	2366630	"90.481589"	"1.22342"
720430	2366650	"110.247694"	"1.05256"
720430	2366670	"130.243706"	"0.775626"
720450	2363530	"130.250651"	"0.155602"
720450	2363550	"110.570349"	"0.174037"
720450	2363570	"90.887025"	"0.185837"
720450	2363590	"71.515721"	"0.193565"
720450	2363610	"52.457432"	"0.200806"
720450	2363630	"34.564673"	"0.201408"
720450	2363650	"16.794693"	"0.204025"
720450	2363670	"1.023940"	"0.202323"
720450	2363690	"18.639227"	"0.202289"
720450	2363710	"36.457592"	"0.189886"
720450	2363730	"54.020083"	"0.186404"
720450	2363750	"71.891435"	"0.172941"
720450	2363770	"89.555425"	"0.159825"
720450	2363790	"107.272328"	"0.139678"
720450	2363810	"125.090758"	"0.107991"
720450	2363830	"142.706139"	"0.0545004"
720450	2364470	"149.968619"	"0.282369"
720450	2364490	"131.492446"	"0.938581"
720450	2364510	"113.123225"	"1.38829"
720450	2364530	"95.149940"	"1.59597"
720450	2364550	"77.482722"	"1.82994"
720450	2364570	"59.916430"	"1.95335"
720450	2364590	"42.249213"	"1.97785"
720450	2364610	"24.737024"	"2.04296"
720450	2364630	"7.116902"	"2.09635"
720450	2364650	"10.550644"	"2.08496"
720450	2364670	"28.594293"	"2.01164"
720450	2364690	"46.843680"	"1.95341"
720450	2364710	"65.567207"	"1.83699"
720450	2364730	"84.954043"	"1.64953"
720450	2364750	"104.476660"	"1.48482"
720450	2364770	"124.242163"	"1.17796"
720450	2364790	"143.971357"	"0.693886"
720450	2365510	"149.768122"	"0.240477"
720450	2365530	"129.909223"	"0.30081"
720450	2365550	"110.230579"	"0.347315"
720450	2365570	"90.549963"	"0.381007"
720450	2365590	"71.183644"	"0.405633"
720450	2365610	"52.136595"	"0.428806"
720450	2365630	"34.343557"	"0.439761"
720450	2365650	"19.106371"	"0.455489"
720450	2365670	"4.294036"	"0.451741"
720450	2365690	"10.364994"	"0.463129"
720450	2365710	"25.100614"	"0.450177"
720450	2365730	"39.836251"	"0.443455"
720450	2365750	"54.564449"	"0.425605"
720450	2365770	"69.384544"	"0.410248"
720450	2365790	"84.035670"	"0.37752"
720450	2365810	"98.932896"	"0.34103"
720450	2365830	"113.584043"	"0.298775"
720450	2365850	"128.404137"	"0.230221"
720450	2365870	"143.055260"	"0.116392"
720450	2366410	"130.547634"	"0.640364"
720450	2366430	"110.653126"	"0.953534"
720450	2366450	"90.660120"	"1.15689"
720450	2366470	"70.810394"	"1.29619"
720450	2366490	"50.835228"	"1.39283"
720450	2366510	"31.115823"	"1.45569"
720450	2366530	"11.181472"	"1.48929"
720450	2366550	"8.765747"	"1.49552"
720450	2366570	"28.472274"	"1.47401"
720450	2366590	"48.520428"	"1.42482"
720450	2366610	"68.353649"	"1.3439"
720450	2366630	"88.174128"	"1.22494"
720450	2366650	"108.007375"	"1.05473"
720450	2366670	"127.941665"	"0.790229"
720450	2366690	"147.774912"	"0.212647"
720470	2363530	"134.588454"	"0.125659"
720470	2363550	"115.648271"	"0.15635"
720470	2363570	"97.000372"	"0.170343"
720470	2363590	"79.212146"	"0.190082"
720470	2363610	"61.393693"	"0.190412"
720470	2363630	"43.676771"	"0.19896"
720470	2363650	"25.959869"	"0.205677"
720470	2363670	"8.141405"	"0.201319"
720470	2363690	"9.421133"	"0.198061"
720470	2363710	"27.292461"	"0.19952"
720470	2363730	"44.956463"	"0.188694"
720470	2363750	"62.673360"	"0.1837"
720470	2363770	"80.390266"	"0.166569"
720470	2363790	"98.054310"	"0.151859"
720470	2363810	"115.824084"	"0.129923"
720470	2363830	"133.589637"	"0.0869404"
720470	2364470	"142.271632"	"0.653622"
720470	2364490	"123.751181"	"1.25758"
720470	2364510	"105.486160"	"1.52715"
720470	2364530	"87.010003"	"1.75716"
720470	2364550	"68.550909"	"1.87321"
720470	2364570	"50.544159"	"2.01467"
720470	2364590	"32.876934"	"2.062"
720470	2364610	"15.264052"	"2.04917"
720470	2364630	"2.356776"	"2.06323"
720470	2364650	"19.922955"	"2.03003"
720470	2364670	"37.536109"	"2.01162"
720470	2364690	"55.156388"	"1.8852"
720470	2364710	"73.229281"	"1.79099"
720470	2364730	"91.466904"	"1.58149"
720470	2364750	"109.831823"	"1.40395"
720470	2364770	"128.777608"	"0.971762"
720470	2364790	"147.902703"	"0.393182"
720470	2365530	"134.257971"	"0.25207"
720470	2365550	"115.323363"	"0.309606"
720470	2365570	"96.684505"	"0.354235"
720470	2365590	"78.839139"	"0.385667"
720470	2365610	"62.182179"	"0.409771"
720470	2365630	"47.361915"	"0.431472"
720470	2365650	"32.549235"	"0.440411"
720470	2365670	"17.729052"	"0.460246"
720470	2365690	"3.078040"	"0.45451"
720470	2365710	"11.742424"	"0.460182"
720470	2365730	"26.393379"	"0.450049"
720470	2365750	"41.206161"	"0.436948"
720470	2365770	"55.780152"	"0.42705"
720470	2365790	"70.677376"	"0.412827"
720470	2365810	"85.412997"	"0.379658"
720470	2365830	"100.225752"	"0.343771"
720470	2365850	"114.961359"	"0.302271"
720470	2365870	"129.619867"	"0.232917"
720470	2365890	"144.432582"	"0.11035"
720470	2366410	"132.558606"	"0.604281"
720470	2366430	"112.738132"	"0.95129"
720470	2366450	"92.904836"	"1.15587"
720470	2366470	"73.084364"	"1.29526"
720470	2366490	"53.137253"	"1.39209"
720470	2366510	"33.316796"	"1.45516"
720470	2366530	"13.369683"	"1.48918"
720470	2366550	"6.577722"	"1.4955"
720470	2366570	"26.284080"	"1.47419"
720470	2366590	"46.218370"	"1.42523"
720470	2366610	"66.051628"	"1.34482"
720470	2366630	"85.985915"	"1.22601"
720470	2366650	"105.819173"	"1.05605"
720470	2366670	"125.766275"	"0.793627"
720470	2366690	"145.586710"	"0.302816"
720490	2363530	"141.654337"	"0.0772275"
720490	2363550	"123.912698"	"0.133259"
720490	2363570	"106.147150"	"0.156818"
720490	2363590	"88.430211"	"0.173544"
720490	2363610	"70.660407"	"0.187361"
720490	2363630	"52.943524"	"0.196761"
720490	2363650	"35.279422"	"0.195053"
720490	2363670	"17.460997"	"0.203014"
720490	2363690	"0.255985"	"0.20487"
720490	2363710	"17.972861"	"0.199369"
720490	2363730	"35.636933"	"0.19613"
720490	2363750	"53.406708"	"0.185727"
720490	2363770	"71.123628"	"0.17749"
720490	2363790	"88.889140"	"0.160194"
720490	2363810	"106.606032"	"0.143646"
720490	2363830	"124.322929"	"0.109384"
720490	2363850	"142.039828"	"0.0577217"
720490	2364470	"133.302640"	"1.09665"
720490	2364490	"116.098502"	"1.47958"
720490	2364510	"97.683599"	"1.65985"
720490	2364530	"79.268727"	"1.8784"
720490	2364550	"60.748288"	"1.95017"
720490	2364570	"42.377685"	"2.01007"
720490	2364590	"23.857242"	"2.08959"
720490	2364610	"5.837475"	"2.11859"
720490	2364630	"11.776205"	"2.07312"
720490	2364650	"29.396081"	"2.01209"
720490	2364670	"47.063268"	"1.92711"
720490	2364690	"64.629561"	"1.86666"
